table_file	column	description	role	needs_manual_review
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	has_ridge_attribution_support	Whether ridge-based attribution also supported the locus.	cross_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	functional_keyword_classes	Local functional keyword class assigned from annotation text.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	priority_score	Manuscript triage score integrating significance, recurrence, attribution and annotation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	priority_tier	Manuscript priority tier.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	trait_short	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	evidence_level	Curated evidence class for manuscript interpretation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	evidence_label	Human-readable evidence label.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	primary_candidate_gene	Primary candidate gene emphasized for the region.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	citation_ids	Curated citation identifiers supporting the locus interpretation.	citation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	locus_id	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	trait	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	chrom	B73 RefGen_v4 chromosome.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	locus_start	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	locus_end	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	lead_snps_in_locus	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_variant_id	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_pos	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_p_value	Association p-value or p-value-derived field.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_q_value_bh	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	best_significance_class	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_candidate_gene_id	Primary local candidate gene used to name the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	top_gene_relation	Gene-level annotation or identifier field.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	candidate_genes	Gene-level annotation or identifier field.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	candidate_gene_count	Gene-level annotation or identifier field.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	candidate_gene_descriptions	Local B73 RefGen_v4 candidate gene descriptions.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	has_ridge_attribution_support	Whether ridge-based attribution also supported the locus.	cross_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	functional_keyword_classes	Local functional keyword class assigned from annotation text.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	recurrent_traits	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	priority_score	Manuscript triage score integrating significance, recurrence, attribution and annotation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	priority_tier	Manuscript priority tier.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	trait_short	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	evidence_level	Curated evidence class for manuscript interpretation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv	evidence_label	Human-readable evidence label.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/literature_sources.tsv	citation_id	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/literature_sources.tsv	short_citation	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/literature_sources.tsv	url	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/literature_sources.tsv	evidence_type	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/literature_sources.tsv	curated_summary	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	trait	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	seeds_evaluated	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	mean_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	sd_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	min_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	mean_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	sd_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	min_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	positive_r2_seeds	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	pearson_gt_0_3_seeds	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	trait_family	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	priority_tier	Manuscript priority tier.	triage	False
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	robust_selected	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	ridge_median_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	elasticnet_median_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	mlp_median_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	ridge_median_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	elasticnet_median_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	mlp_median_r2	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	best_model_by_pearson	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	methylation_pca_median_pearson_gain	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	methylation_pca_median_r2_gain	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	methylation_pca_better_pearson_seeds	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	methylation_pca_better_r2_seeds	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_pearson_gain_sparse_vs_base	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_r2_gain_sparse_vs_base	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_pearson_gain_sparse_vs_pca	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	median_r2_gain_sparse_vs_pca	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	main_model	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/final_v0_1_trait_benchmark.tsv	methylation_role	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	trait	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	n_non_missing	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	variants_tested	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	p_source_column	Association p-value or p-value-derived field.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	bonferroni_0_05	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	fdr_0_05_hits	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	bonferroni_hits	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	min_p_value	Association p-value or p-value-derived field.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv	lambda_gc	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
