trait	trait_group	pearson__genotype_pca_population_ridge	pearson__genotype_pca_ridge	pearson__population_ridge	r2__genotype_pca_population_ridge	r2__genotype_pca_ridge	r2__mean_baseline	r2__population_ridge
agri_aa_oil__Oil_C181_C182	agri_aa_oil	0.5521077843813205	0.5885245367551472	0.21571330897909965	0.2882918266511142	0.33969967035820536	-0.005714358268783748	0.03306534244749049
agri_aa_oil__Leafnumberaboveear	agri_aa_oil	0.5513138035959115	0.4960096937547841	0.5189633326445492	0.22686605101900947	0.15018561118501184	-0.10530605462910847	0.1811643717944449
agri_aa_oil__Oil_C16_1P	agri_aa_oil	0.5510428866480737	0.5709610432802403	0.22240984612993447	0.29132999157648987	0.29164592916922794	-0.007528011708102245	0.028332651535152298
metabolite__L_Aspartic_acid_E1	metabolite	0.5499336714419243	0.4769651957292594	0.2598223311051735	0.25650741206949357	0.20085900985113225	-4.3842328378618234e-05	0.03896969124273342
metabolite__Feruloyltryptamine_E1	metabolite	0.5456895823955218	0.534994640506135	0.3126548469088972	0.246162126038046	0.21964296303210573	-0.00019761881933311187	0.09157479886476827
metabolite__L_saccharopine_E1	metabolite	0.5411687918703045	0.5315338848900307	0.4218204139970295	0.06961521762448464	0.052118397272758576	-0.014497751128379255	0.08668932997366563
agri_aa_oil__Oil_C160_C180	agri_aa_oil	0.5396400091789009	0.5270204354581333	0.33173229277206595	0.21193151251322773	0.18365051662167053	-0.12008667461685296	0.00037309441760935425
metabolite__L_Tyrosine_E1	metabolite	0.5384424190302268	0.6156300385975347	0.37817712837551487	0.09845177047850429	0.08576931752955541	-0.013363113739977006	0.1401247830335005
metabolite__Chrysoeriol_O_rhamnosyl_O_hexoside_E2	metabolite	0.535835238730506	0.4868848870969338	0.4085049146814008	-0.32458543016512587	-0.2868127953659727	-0.10696762420162376	0.049702379584777856
metabolite__L_saccharopine_E2	metabolite	0.5318431938738678	0.5698629926968724	0.18163197750815926	0.03346891638193916	0.028068070020477953	-0.04089223426922928	-0.03849031926462376
metabolite__7_Oxo_11_dodecenoic_acid_E2	metabolite	0.528866837251156	0.4151894055193332	0.5049308294006349	-0.26290499686955093	-0.3234420260376196	-0.16722375081953667	0.02870194415042715
metabolite__N_coumaroyl_O_hexoside_spermidine_E1	metabolite	0.5249960746688095	0.4723877677708276	0.37346203818701607	-0.12306697333238037	-0.12890996451811887	-0.13965487419803524	-0.13347558109238467
agri_aa_oil__AA_Arg	agri_aa_oil	0.5240259833953493	0.42693266503983096	0.4875334998182241	0.27215322523224117	0.10734026149377862	-0.0035289813788612623	0.23444354947918788
metabolite__Tricin_O_rhamnosyl_O_hexoside_E2	metabolite	0.5170245524145747	0.4329178165548809	0.39017991889004017	-0.6649188840910478	-0.5389323660794281	-0.3250702826255032	-0.39899417516834057
agri_aa_oil__Oil_C22_0P	agri_aa_oil	0.5167613170368714	0.5314115989547393	0.20549866923851773	0.24784373252526615	0.27691584472939934	-0.0010437723433589507	0.014609841991995998
metabolite__Feruloyltryptamine_E2	metabolite	0.5156088361974572	0.4572333599049186	0.37441458904752856	0.22879630309479027	0.1525166485655326	-0.010322640230251645	0.1305042453490014
agri_aa_oil__Oil_C20_0P	agri_aa_oil	0.5144158262615192	0.5605030570491426	0.2435924192015761	0.22664236653630399	0.30344029161795416	-0.062297258570105374	-0.027625966432840654
metabolite__L_Arginine_E1	metabolite	0.5139110701032815	0.5015886445727835	0.3219489557612397	0.18602233434561966	0.17252026369315387	-0.009516726864889469	-0.026801505970949213
agri_aa_oil__Oil_C18_3	agri_aa_oil	0.5114993236534248	0.5406229121681004	0.07750300246803704	0.20238577995689588	0.21012523083565404	-0.015031660748819453	-0.013887877727066122
metabolite__Serotonin_E2	metabolite	0.5104726302955711	0.4785478532511582	0.38374654813438225	0.1379401244637356	0.12639448585729685	-0.00853247268826407	0.1123267178363222
metabolite__Naringenin_derivative_E1	metabolite	0.5099639122518095	0.4911696718034789	0.39017199427207927	-0.08232439643255529	-0.15916868124088301	-0.4929359510092899	-0.8768245701124697
metabolite__N_Coumaroyltryptamine_E2	metabolite	0.5002835465008953	0.4867124607608369	0.37504980501321716	0.12439298675884813	0.056100580377089204	-0.0018840659653907021	0.13683109790195513
metabolite__Acetosyringone_E2	metabolite	0.4969894861238531	0.5287627401438907	0.16866897201798609	-0.48163140876968136	-0.48954028850153897	-0.5223896060374567	-0.5144026961188541
metabolite__L_Phenylalanine_E1	metabolite	0.4967203951388808	0.4726136645321033	0.34637347269067476	0.1081611048751473	0.07322547334599683	-0.0038243525722403415	0.10978398908203957
metabolite__Malvidin_3_O_hexoside_E2	metabolite	0.4920061121429363	0.45929090001265543	0.43809098284791187	0.2048860357874237	0.16149609876021986	-0.08143649365308514	0.13143122627373416
metabolite__L_Isoleucine_E1	metabolite	0.4879533947471341	0.4542563473913791	0.42670483896800543	0.2257088324357629	0.1915568341744729	-0.0016329042349090273	0.1739343304770249
agri_aa_oil__Earleaflength	agri_aa_oil	0.48628331547746323	0.45872154733208453	0.44298973731801866	0.2335130709253488	0.13873332274357064	-0.001286872532094474	0.19320979058116294
metabolite__Glutamine_E1	metabolite	0.4858622698133606	0.5482604033262959	0.163529728537003	0.10314984341010225	0.22275681271442738	-0.0004133159705852485	0.005038128719154877
metabolite__9_Oxo_12_octadecenoic_acid_E2	metabolite	0.48556026874577896	0.3781468068539465	0.5401714333313543	0.19555227217143822	0.11766127872706256	-0.04069407054732177	0.2687873010253682
metabolite__L_Aspartic_acid_E2	metabolite	0.48456524273220397	0.4859530805603969	0.28661519028935445	0.22165296444508997	0.21563340682313115	-0.015549425826566043	0.06541227594037946
metabolite__L_Leucine_E1	metabolite	0.48364955789445724	0.4609854185306575	0.43987945841071957	0.22772698429947835	0.20637463921187027	-0.006814885859864894	0.18652560082911052
agri_aa_oil__Tasselmainaxislength	agri_aa_oil	0.48263362834260015	0.49272390009855305	0.2872492841430748	0.22658630094592735	0.22862020882773038	-0.0018030699881772527	0.08036803372033052
agri_aa_oil__Plantheight	agri_aa_oil	0.4809312713878985	0.47646397640304183	0.4048873310431766	0.18199353486190784	0.18175338985120826	-0.001156742076920514	0.1506213564931066
agri_aa_oil__Kernernumberperrow	agri_aa_oil	0.4808824999409242	0.4499026663468165	0.39006188631526517	0.20512413827155906	0.16906950900242446	-0.015327767288158434	0.10599758404928838
agri_aa_oil__100grainweight	agri_aa_oil	0.47976516798323976	0.4584224869042407	0.3005660828826259	0.17480286384061205	0.15901095486203365	-0.0013137934527023276	0.044406527850627375
metabolite__L_Lysine_E1	metabolite	0.47802158498164793	0.4453230472103672	0.46913311868788016	0.0845464796338341	0.07305961562334329	-0.053662107303371176	0.18526832193632026
metabolite__Thiamin_E1	metabolite	0.4775452191883505	0.19565064596184167	0.6661698058298533	0.22723156597952932	0.02529721151909825	-0.0014310625569531332	0.3754858115933455
agri_aa_oil__Earheight	agri_aa_oil	0.47684212445471663	0.47948212143486424	0.20169342904260196	0.19431230003863653	0.1880771128151515	-0.04954476748538639	-0.027377977326374925
metabolite__L_Pipecolate_E1	metabolite	0.4754406087191733	0.4506668105999221	0.20414847156730404	0.013538581537576366	-0.01427627219896177	-0.12172965526868329	-0.09836329052660053
metabolite__3p_4p_5p_Tricetin_O_rhamnosyl_O_hexoside_E2	metabolite	0.47400009576519553	0.41322111448006626	0.3350208955799973	0.17639876964078405	0.13021780818365758	-0.03623407466015194	0.06545396169355
agri_aa_oil__Oil_C220_C240	agri_aa_oil	0.47308994570869367	0.4574147964218938	0.24830477184029845	0.16174259084917353	0.1479825203980406	-0.09828886747499266	-0.07951672015635691
agri_aa_oil__Oil_C24_0	agri_aa_oil	0.47076849842374985	0.48013859274183024	0.2632388886081153	0.10736250192374452	0.13649574371626783	-0.0003172785309499826	0.036324658790583775
metabolite__Chrysoeriol_C_hexosyl_O_rhamnoside_E2	metabolite	0.4677025465150311	0.2828362023705736	0.43232027400952583	0.18046558973691496	0.045389259928789616	-0.009563671446454647	0.029933638574063393
metabolite__N_caffeoyl_O_hexoside_spermidine_E2	metabolite	0.46712707993862407	0.42497736168558675	0.32414704502499864	0.04890078138105558	-0.02228799020986405	-0.035397267310113945	0.06624550197004953
metabolite__Apigenin_C_hexosyl_C_pentoside_E1	metabolite	0.46310740129502576	0.21453397750066783	0.45923127160685717	-1.5492638754457708	-1.5141942378448614	-1.8572271979554809	-7.042555023477037
metabolite__N_Coumaroyl_spermidine_derivative_E2	metabolite	0.4603440153602782	0.47028534417875384	-0.036909431755901896	0.1168479989407899	0.11572386752078379	-0.0006107625518954052	-0.02325316281030254
metabolite__Nalidixic_acid_E2	metabolite	0.46001252945905396	0.44166046481316396	0.07193177537140265	0.21077433460416373	0.19447679052588518	-0.04520588166167827	-0.041918284675182216
metabolite__Lehmbachol_A_E2	metabolite	0.45940490880070534	0.4257958530290457	0.30510174470485174	-0.017994842538357148	-0.025501167971952787	-0.03869704017476705	-0.030881731780287636
metabolite__Carpacin_E1	metabolite	0.4583887937411567	0.32987421204459044	0.4119135297169816	0.11865069034560005	0.05197770515737965	-0.0006424916740770392	0.14438069742683313
metabolite__Elaeokanine_C_E2	metabolite	0.4488053259492698	0.3686843737960256	0.2874045562266728	-0.9459784682733408	-0.9616033675018438	-1.003841964747719	-1.2745534082970784
metabolite__LPC1_acyl_18_3_2_E2	metabolite	0.447996655070753	0.37934919641061804	0.4425639107737103	0.19885013147423103	0.13223353554858053	-0.004845503073140911	0.19331902939641388
metabolite__Asparagine_E1	metabolite	0.4479108337571654	0.35143341148955126	0.5670111509483592	0.0427605926106277	-0.012539815948946709	-0.12428089528222142	0.010512538400307414
metabolite__L_Serine_E1	metabolite	0.4459214438126192	0.46899792017345704	0.1504784546031389	0.03004258449636299	0.02193108373146302	-0.05727321152300968	-0.04316957683410805
metabolite__Crotonoside_E2	metabolite	0.4399492814556922	0.31758876764073973	0.4902861248781596	0.14753842059618238	0.08942432787419252	-0.029515327559410665	0.23142579294275423
agri_aa_oil__AA_His	agri_aa_oil	0.43878648251667984	0.3975074568835588	0.38799223891812845	0.1861943829613394	0.15299752506220377	-0.0038097974103561416	0.128549786280184
agri_aa_oil__Earleafwidth	agri_aa_oil	0.4353275152957953	0.4064809588199343	0.3815107795152457	0.17093281152572437	0.14598268686764426	-0.017483897552772243	0.1097580043309585
metabolite__Phenylpyruvic_acid_E2	metabolite	0.4329800472269399	0.42725462968330125	0.32159300114809675	0.1442485360565412	0.12996279993718962	-0.015674210749029527	0.07576930918585256
metabolite__N_acetylneuraminic_acid_E2	metabolite	0.4322374366418604	0.3824428467803306	0.30673017035794475	-0.001913749165422196	-0.006744467031262191	-0.024550249277342617	-0.019696450949692634
metabolite__O_Acetyl_L_serine_E1	metabolite	0.4295619770080225	0.49128940668032184	0.1550107198944306	0.06509682230809555	0.19393790681257161	-0.03340222870241272	-0.02004824610493494
metabolite__Feruloylserotonin_E1	metabolite	0.4284176224842509	0.41459771176576365	0.32830841651760195	0.17688423139681153	0.16084545582158283	-0.0015871683400645598	0.10157742399103187
metabolite__LPC1_acyl_18_2_2_E1	metabolite	0.4274066945026232	0.3724385156612297	0.321883787817266	0.050752462572459356	0.038993248359627475	-0.004080135571248533	-0.00044140681601434473
metabolite__Apigenin_C_hexosyl_C_pentoside_E2	metabolite	0.4270344211766861	0.1876586454528848	0.5097911472022989	-0.2941887698005139	-0.40069014676271064	-0.6087405438605635	-1.5348373129706583
metabolite__Ethyl_syringate_E2	metabolite	0.42550308764541195	0.3788463297748678	0.3681558552875784	0.12506785058371217	0.11249062732562276	-5.764438838640196e-05	0.1311183841899627
metabolite__Phenylpyruvic_acid_E1	metabolite	0.4211339574700579	0.4515926824826027	0.29717866551896904	0.17433606575610172	0.06704063226434853	-0.005882136589975051	0.050073561303143665
metabolite__Norcinnamolaurine_E2	metabolite	0.4191192999190163	0.4139439961550495	0.37401593432739766	0.13062077310531783	0.05874711820009981	-0.003370416653381003	0.13839868382822418
metabolite__Uracil_E1	metabolite	0.4146086533554927	0.4182078703464839	0.4422729332146262	0.13156024490151708	0.14315995289515093	-0.08352584685042008	0.11882601657037695
agri_aa_oil__Tasselbranchnumber	agri_aa_oil	0.41310489756458857	0.35700078839466437	0.422223707666591	0.14500503962169697	0.0053583739399747365	-0.018581772095476845	0.15785017698480008
agri_aa_oil__Oil_C18_0P	agri_aa_oil	0.4128617705364998	0.3617399300511093	0.34421938717904843	0.0965308756040596	0.05614945409339667	-0.11965561633504196	0.0017252401748130142
metabolite__Guanosine_E2	metabolite	0.4108817667409597	0.289369889103381	0.4424461103930841	0.10875974482443429	0.06046763557535895	-0.04617066441066675	0.17832353818739521
metabolite__IAA_E1	metabolite	0.41039077763103093	0.40296512887854197	0.1732916981034354	0.05949716824897788	0.05083754069804125	-0.0001258625519722223	0.0029631090761064183
agri_aa_oil__Oil_C200_C201	agri_aa_oil	0.4101701749077541	0.44375247177532257	0.06785549712465903	0.07349505707657122	0.09505504443280066	-0.14714191878633676	-0.1868906423720007
metabolite__Chrysoeriol_O_hexoside_E2	metabolite	0.4094212648456445	0.35861896029133367	0.30290311181304036	0.11078324195519806	0.060740454537963395	-0.022883996711166255	0.06836904855974557
metabolite__Coumaroylserotonin_E2	metabolite	0.4065378101892837	0.36648568456460356	0.38580398018625206	0.0916176688321566	0.1061314992569562	-0.006718581878853103	0.14415871032485683
agri_aa_oil__AA_Phe	agri_aa_oil	0.4041307960176395	0.4056201477486858	0.13368451460951833	0.13941275501477612	0.1348827545919261	-0.008733671778880847	0.009256124574053226
metabolite__N_Coumaroyl_spermidine_derivative_E1	metabolite	0.40381478955362926	0.5055076498385301	0.011634891970443682	0.007243599402887102	0.03347040887144037	-5.038063139806148e-05	-0.027303863052475563
agri_aa_oil__Oil_C20_1P	agri_aa_oil	0.40003194128976527	0.3767222668636557	0.2031767170993497	0.14203895757793483	0.12403157357133743	-0.011837203823338749	0.02554822310645677
metabolite__LPC1_acyl_18_3_1_E2	metabolite	0.399249119400889	0.3354750365466177	0.4113626878177219	0.1498193647671927	0.10634377316756483	-0.014493696751157081	0.1647360809875732
metabolite__N_Coumaroylagmatine_E2	metabolite	0.3984145623630704	0.23209149178298927	0.4475814473981697	0.0883690144289222	0.048175165805000475	-0.0019442511915297445	0.1706771627700383
metabolite__Pro_Leu_E1	metabolite	0.3966186876168395	0.4566338775230896	0.1449351177898039	0.11215100059235361	0.18232559665826764	-0.04568731814020466	-0.08139828290909645
agri_aa_oil__cobweight	agri_aa_oil	0.39554152394834663	0.4002242234437048	0.25202643004648834	0.09258137623992335	0.11007317043877096	-0.003018836995817731	0.05848898004370684
metabolite__Indole_3_carboxyaldehyde_E1	metabolite	0.39277520201659466	0.42322983436178274	0.1021860175350834	0.10774611334148065	0.1156365046509944	-0.020625258925654366	-0.018610374930145834
metabolite__Linolenic_acid_E2	metabolite	0.39260135248243777	0.33384838759584357	0.4162306357460791	0.13361225682867173	0.10994573043630906	-0.004073748508197417	0.16338192658075723
metabolite__LPC1_acyl_18_3_1_E1	metabolite	0.39168508604206465	0.32740654740359854	0.4694596709844665	0.12212384627976358	0.08225957466705591	-0.007311234954813894	0.1252309004007197
metabolite__N_Feruloylputrescine_E2	metabolite	0.3901344353888637	0.331394996492787	0.3901824536866458	0.09603819109549072	0.042798344124728716	-4.407677549611577e-07	0.13129995490581514
metabolite__Ferulic_acid_E2	metabolite	0.3891587652952696	0.3122778231771929	0.3477684704127067	0.057652481290100255	0.008724219683032497	-0.026050903303635575	0.0751516538902347
metabolite__LPC1_acyl_20_4_E1	metabolite	0.38804952541658	0.31895095925547484	0.3587825932562956	0.06831417581362687	0.09003994851528607	-0.0031392489617361186	0.11161743789299405
metabolite__Dicoumaroylputrescine_E2	metabolite	0.38715246670294545	0.4255347325677943	0.3110478860581376	0.08007380009279252	0.1463089051347498	-0.005402347397272633	0.07686390806375176
agri_aa_oil__AA_Asp	agri_aa_oil	0.3869909985270506	0.3793449196071912	0.22955372029484727	0.14463328898382832	0.13387062985276044	-0.0017170223137654705	0.05033870814086061
metabolite__LPC1_acyl_16_0_2_E1	metabolite	0.3852997384521042	0.3138217482022598	0.4527884878187897	0.051677101890250765	0.015449161746772466	-0.038943748923271126	0.0770154006147673
metabolite__N_Feruloylputrescine_E1	metabolite	0.3819072443021517	0.348469518747851	0.39715892006015047	0.06632811536959726	0.03345209424771578	-0.13207627726505033	0.01791282494517421
metabolite__L_Tryptophan_E1	metabolite	0.3764017582382389	0.12886090375335568	0.4297583658636236	0.008966946176501178	-0.08831549646559078	-0.06192382537439722	0.07100403722772719
metabolite__Lincomycin_E1	metabolite	0.3754152785611103	0.12813491394672694	0.41676529725556327	0.003283485019454857	-0.00960039064409468	-0.012342656613721692	0.07769798360604929
metabolite__Feruloylagmatine_derivative_E2	metabolite	0.37504032320487346	0.19810208472681762	0.4100844971563241	0.07801197805644311	0.01972225341472522	-0.00013639715401558838	0.12525387996986515
agri_aa_oil__AA_Leu	agri_aa_oil	0.370540740047284	0.3841847529541638	0.010613120115012292	0.11554110034304266	0.12176363490112163	-0.0164340137133967	-0.016322957304334862
agri_aa_oil__AA_Thr	agri_aa_oil	0.36880293070668874	0.3666829104567527	0.1924417034076571	0.1216270474997233	0.11590527627017289	-0.005574918074974677	0.03123072788361725
metabolite__Scopoletin_E1	metabolite	0.36845115129224937	0.30690549047372656	0.31772161499605156	0.053542052423700914	0.03742349308356052	-0.0022823557233948577	0.08411499775130937
metabolite__N_N_caffeoyl_Feruloyl_spermidine_derivative_E2	metabolite	0.36803095498316757	0.4092000009500966	0.31874657812962065	0.0266932504166707	0.02140622441029838	-0.002886253650044468	0.09367502512150294
agri_aa_oil__AA_Lys	agri_aa_oil	0.36437268181272947	0.2904001891921862	0.3656031853870854	0.12408321937062161	0.07607058081777507	-0.001378694400618663	0.13090369847121164
metabolite__N_feruloyl_O_hexoside_spermidine_E2	metabolite	0.36404746977516433	0.2931508078631481	0.3035325978036371	0.05688409788679549	0.007208835471995023	-1.9526998226382375e-05	0.06434747626807735
metabolite__Apigenin_C_pentosyl_O_coumaroylhexoside_E2	metabolite	0.36291419187404156	0.3487312810890294	0.14209095144610678	-0.8945729103771096	-0.7863698515567672	-0.4268894682833255	-0.9589818331531057
metabolite__Gibberellin_A4_E1	metabolite	0.35992044490647696	0.3997587677404648	0.08445761787208791	-0.005746105389326628	-0.004722212142952875	-0.10520540673566026	-0.18922921977503737
metabolite__Caffeoyltryptamine_E2	metabolite	0.359215439512758	0.18522898409738173	0.31130598242959107	0.0526417671802627	0.030817620663223688	-0.013014869316604116	0.07374093082149458
agri_aa_oil__AA_Ile	agri_aa_oil	0.3570318218945836	0.3580505223389463	0.14081534426548342	0.11243435449198214	0.11083976688305253	-0.008552696793668435	0.00401253255368117
metabolite__Uracil_E2	metabolite	0.3568538339127023	0.2463930014202035	0.2923324463645736	-0.24907974812602052	-0.2928194918507214	-0.37141589618153126	-0.3232430035165217
metabolite__N_Coumaroyltryptamine_E1	metabolite	0.3543900591029916	0.3787820289152201	0.1307887893513022	0.12180163833719637	0.13144892711927525	-0.0013966705741010887	-0.03492739725808547
metabolite__Gluconolactone_E2	metabolite	0.35418448648263395	0.3546546973469617	0.33811644517215267	0.10829258736168157	0.11640953337400683	-0.04173877500831025	0.08066114340483566
agri_aa_oil__AA_Pro	agri_aa_oil	0.35353661749014736	0.3505723893164757	0.19021055670035927	0.12147942503608933	0.1187810557238721	-0.00022404030124145713	0.034269699050045954
metabolite__Norcinnamolaurine_E1	metabolite	0.35339602055249286	0.28671287119043476	0.3236040236116161	0.10938467103086857	0.07568620436369922	-0.03782840425821954	0.06829145368495104
metabolite__L_Valine_E1	metabolite	0.35206356853089993	0.30096691803355874	0.3054764426890035	0.12027940443550844	0.08622933758222928	-0.012323439921500423	0.0806653394315936
metabolite__Pyridoxate_1_E1	metabolite	0.35190868208255166	0.25004785389262474	0.4416799587240283	0.10154327511262262	0.03963321703976175	-0.021325034807188503	0.14662779754480115
metabolite__Cyanidin_3_O_glucoside_E2	metabolite	0.35073679522904144	0.3382656684684	0.24684388412479874	0.06556374618527949	0.014085602458170143	-0.04547001613409707	0.027859630497131693
metabolite__Hesperetin_E1	metabolite	0.34797803151035384	0.3102698675525708	0.2693104971563775	-1.2892809056071228	-1.492630463361221	-0.18319375774472313	-0.2847797077226355
agri_aa_oil__Oil_C180_C200	agri_aa_oil	0.34504886584773886	0.3123706697445303	0.276361514676625	0.09737422242745908	0.07986287923598356	-0.01757448089708169	0.059592153215989874
metabolite__Tricin_O_pentosyl_O_hexoside_E2	metabolite	0.34376509175570447	0.22842263580979846	0.2933561867690919	-1.674179315388423	-1.6527102907158544	-1.1622064292778171	-1.7292346001246073
metabolite__2pp_6pp_O_Diacetyloninin_E2	metabolite	0.34259298225505974	0.3219170434581788	0.18959430229136526	0.035961302151407804	0.03005313854129832	-0.002189157939936237	-0.0004874956970954969
metabolite__Modiolin_E1	metabolite	0.34211698195314055	0.31021403045275286	0.2832894820323688	0.02053714234007331	-0.05148089690549673	-0.06355545329620393	-0.016120903992209
metabolite__LPC1_acyl_18_2_1_E1	metabolite	0.3418405177599165	0.3701767855320445	0.08358761613729568	-0.016622624134290387	0.0576955440766308	-0.04981033750287844	-0.049099291537080036
