trait	nearest_gene_id	gene_relation	variants	max_selected_seeds	mean_abs_train_correlation	min_distance_to_gene_bp
agri_aa_oil__Oil_C182_C183	Zm00001d028995	gene_body	1	5	0.5119039297103882	0
agri_aa_oil__Oil_C182_C183	Zm00001d009150	promoter	1	5	0.5092232525348663	0
agri_aa_oil__Oil_C182_C183	Zm00001d009147	gene_body	1	5	0.5086047351360321	0
agri_aa_oil__Oil_C182_C183	Zm00001d036981	cis_window	1	5	0.4818646848201752	247
agri_aa_oil__Oil_C182_C183	Zm00001d013603	gene_body	1	5	0.4777934730052948	0
agri_aa_oil__Oil_C182_C183	Zm00001d025421	cis_window	1	5	0.4732097923755646	1773
agri_aa_oil__Oil_C182_C183	Zm00001d049511	gene_body	1	5	0.47105310559272767	0
agri_aa_oil__Oil_C182_C183	Zm00001d030130	promoter	1	5	0.4637230336666107	0
agri_aa_oil__Oil_C182_C183	Zm00001d029038	promoter	1	5	0.4627167284488678	0
agri_aa_oil__Oil_C182_C183	Zm00001d011490	gene_body	1	5	0.4551076591014862	0
agri_aa_oil__Oil_C182_C183	Zm00001d016764	nearest	1	5	0.45401017665863036	10453
agri_aa_oil__Oil_C182_C183	Zm00001d036981	promoter	1	5	0.4536954820156097	0
agri_aa_oil__Oil_C182_C183	Zm00001d008883	gene_body	1	5	0.45231279730796814	0
agri_aa_oil__Oil_C182_C183	Zm00001d005018	gene_body	1	5	0.44854873418807983	0
agri_aa_oil__Oil_C182_C183	Zm00001d029040	gene_body	1	5	0.44705220460891726	0
agri_aa_oil__Oil_C182_C183	Zm00001d044074	gene_body	1	5	0.4461815059185028	0
agri_aa_oil__Oil_C182_C183	Zm00001d008827	cis_window	1	5	0.4437501609325409	654
agri_aa_oil__Oil_C182_C183	Zm00001d013595	gene_body	1	5	0.44222657680511473	0
agri_aa_oil__Oil_C182_C183	Zm00001d029041	gene_body	1	5	0.4420158863067627	0
agri_aa_oil__Oil_C182_C183	Zm00001d016788	promoter	1	5	0.4410013914108276	0
agri_aa_oil__Oil_C182_C183	Zm00001d029044	nearest	1	5	0.43810403943061826	46559
agri_aa_oil__Oil_C182_C183	Zm00001d048903	cis_window	1	5	0.4339387118816376	143
agri_aa_oil__Oil_C182_C183	Zm00001d013818	gene_body	1	5	0.43261789083480834	0
agri_aa_oil__Oil_C182_C183	Zm00001d008881	cis_window	1	5	0.4261264860630035	736
agri_aa_oil__Oil_C182_C183	Zm00001d052227	cis_window	1	5	0.42117080092430115	6066
agri_aa_oil__Oil_C182_C183	Zm00001d008878	gene_body	1	5	0.4198430895805359	0
agri_aa_oil__Oil_C18_0	Zm00001d036982	gene_body	4	5	0.5983796775341034	0
agri_aa_oil__Oil_C18_0	Zm00001d013984	gene_body	4	5	0.5285080701112748	0
agri_aa_oil__Oil_C18_0	Zm00001d013983	gene_body	3	5	0.5276939868927002	0
agri_aa_oil__Oil_C18_0	Zm00001d036981	gene_body	2	5	0.630397379398346	0
agri_aa_oil__Oil_C18_0	Zm00001d009150	gene_body	2	5	0.6253778100013733	0
agri_aa_oil__Oil_C18_0	Zm00001d027934	gene_body	2	5	0.5082284182310104	0
agri_aa_oil__Oil_C18_0	Zm00001d023853	nearest	2	5	0.4951344639062881	133675
agri_aa_oil__Oil_C18_0	Zm00001d049379	gene_body	2	5	0.4948885142803192	0
agri_aa_oil__Oil_C18_0	Zm00001d013868	gene_body	2	5	0.4826175004243851	0
agri_aa_oil__Oil_C18_0	Zm00001d013861	gene_body	2	5	0.47561854124069214	0
agri_aa_oil__Oil_C18_0	Zm00001d009152	cis_window	1	5	0.6359419465065003	212
agri_aa_oil__Oil_C18_0	Zm00001d036981	cis_window	1	5	0.6278101444244385	247
agri_aa_oil__Oil_C18_0	Zm00001d009147	gene_body	1	5	0.6268223404884339	0
agri_aa_oil__Oil_C18_0	Zm00001d036982	cis_window	1	5	0.6257870435714722	10
agri_aa_oil__Oil_C18_0	Zm00001d009150	promoter	1	5	0.611726725101471	0
agri_aa_oil__Oil_C18_0	Zm00001d036981	promoter	1	5	0.6027553915977478	0
agri_aa_oil__Oil_C18_0	Zm00001d013603	gene_body	1	5	0.5582608938217163	0
agri_aa_oil__Oil_C18_0	Zm00001d049511	gene_body	1	5	0.5551245212554932	0
agri_aa_oil__Oil_C18_0	Zm00001d049442	cis_window	1	5	0.5397622227668762	6677
agri_aa_oil__Oil_C18_0	Zm00001d013849	cis_window	1	5	0.5369753241539001	5032
agri_aa_oil__Oil_C18_0	Zm00001d049442	gene_body	1	5	0.5322444438934326	0
agri_aa_oil__Oil_C18_0	Zm00001d013818	gene_body	1	5	0.5088100731372833	0
agri_aa_oil__Oil_C18_0	Zm00001d036956	gene_body	1	5	0.5061466217041015	0
agri_aa_oil__Oil_C18_0	Zm00001d025421	cis_window	1	5	0.5043917715549469	1773
agri_aa_oil__Oil_C18_0	Zm00001d048903	cis_window	1	5	0.4968745052814484	143
agri_aa_oil__Oil_C18_0	Zm00001d031002	gene_body	1	5	0.48978732228279115	0
agri_aa_oil__Oil_C18_0	Zm00001d013767	gene_body	1	5	0.4868218183517456	0
agri_aa_oil__Oil_C18_0	Zm00001d052227	cis_window	1	5	0.48682058453559873	6066
agri_aa_oil__Oil_C18_0	Zm00001d010175	gene_body	1	5	0.4856181502342224	0
agri_aa_oil__Oil_C18_0	Zm00001d028995	gene_body	1	5	0.48519316911697385	0
agri_aa_oil__Oil_C18_0	Zm00001d023846	nearest	1	5	0.48474460244178774	50254
agri_aa_oil__Oil_C18_0	Zm00001d023856	promoter	1	5	0.4841771960258484	0
agri_aa_oil__Oil_C18_0	Zm00001d042812	gene_body	1	5	0.48295665383338926	0
agri_aa_oil__Oil_C18_0	Zm00001d013971	cis_window	1	5	0.4773224413394928	4103
agri_aa_oil__Oil_C18_0	Zm00001d024995	promoter	1	5	0.4760431170463562	0
agri_aa_oil__Oil_C18_1	Zm00001d036982	gene_body	4	5	0.6450214773416519	0
agri_aa_oil__Oil_C18_1	Zm00001d013984	gene_body	4	5	0.5439414426684379	0
agri_aa_oil__Oil_C18_1	Zm00001d009150	gene_body	2	5	0.6651750683784485	0
agri_aa_oil__Oil_C18_1	Zm00001d036981	gene_body	2	5	0.6368230283260345	0
agri_aa_oil__Oil_C18_1	Zm00001d013983	gene_body	2	5	0.5627850651741028	0
agri_aa_oil__Oil_C18_1	Zm00001d027934	gene_body	2	5	0.5422219008207321	0
agri_aa_oil__Oil_C18_1	Zm00001d023853	nearest	2	5	0.5362793624401092	133675
agri_aa_oil__Oil_C18_1	Zm00001d009147	gene_body	1	5	0.6661656260490417	0
agri_aa_oil__Oil_C18_1	Zm00001d009150	promoter	1	5	0.6610718965530396	0
agri_aa_oil__Oil_C18_1	Zm00001d009152	cis_window	1	5	0.6601758241653443	212
agri_aa_oil__Oil_C18_1	Zm00001d036981	cis_window	1	5	0.6545978546142578	247
agri_aa_oil__Oil_C18_1	Zm00001d036981	promoter	1	5	0.6337078332901	0
agri_aa_oil__Oil_C18_1	Zm00001d036982	cis_window	1	5	0.6256752490997315	10
agri_aa_oil__Oil_C18_1	Zm00001d049442	cis_window	1	5	0.6235412716865539	6677
agri_aa_oil__Oil_C18_1	Zm00001d049442	gene_body	1	5	0.6069621443748474	0
agri_aa_oil__Oil_C18_1	Zm00001d049511	gene_body	1	5	0.6032093524932861	0
agri_aa_oil__Oil_C18_1	Zm00001d013849	cis_window	1	5	0.602013111114502	5032
agri_aa_oil__Oil_C18_1	Zm00001d013603	gene_body	1	5	0.5855694055557251	0
agri_aa_oil__Oil_C18_1	Zm00001d052227	cis_window	1	5	0.5747412800788879	6066
agri_aa_oil__Oil_C18_1	Zm00001d013595	gene_body	1	5	0.5612104058265686	0
agri_aa_oil__Oil_C18_1	Zm00001d013818	gene_body	1	5	0.5518139123916626	0
agri_aa_oil__Oil_C18_1	Zm00001d025421	cis_window	1	5	0.5431905269622803	1773
agri_aa_oil__Oil_C18_1	Zm00001d021488	gene_body	1	5	0.5328675031661987	0
agri_aa_oil__Oil_C18_1	Zm00001d023846	nearest	1	5	0.5301018595695496	50254
agri_aa_oil__Oil_C18_1	Zm00001d008883	gene_body	1	5	0.5297564685344696	0
agri_aa_oil__Oil_C18_1	Zm00001d013767	gene_body	1	5	0.5296407341957092	0
agri_aa_oil__Oil_C18_1	Zm00001d031002	gene_body	1	5	0.529622757434845	0
agri_aa_oil__Oil_C18_1	Zm00001d005018	gene_body	1	5	0.5275549411773681	0
agri_aa_oil__Oil_C18_1	Zm00001d013868	gene_body	1	5	0.5271834194660187	0
agri_aa_oil__Oil_C18_1	Zm00001d023703	promoter	1	5	0.5256782293319702	0
agri_aa_oil__Oil_C18_1	Zm00001d013861	gene_body	1	5	0.5233295917510986	0
agri_aa_oil__Oil_C18_1	Zm00001d032887	gene_body	1	5	0.5216354489326477	0
agri_aa_oil__Oil_C18_1	Zm00001d023856	promoter	1	5	0.5211008131504059	0
agri_aa_oil__Oil_C18_1	Zm00001d049551	cis_window	1	5	0.5203099489212036	302
agri_aa_oil__Oil_C18_1	Zm00001d009653	nearest	1	5	0.5192706823348999	88055
agri_aa_oil__Oil_C18_1	Zm00001d042812	gene_body	1	5	0.5164065897464752	0
agri_aa_oil__Oil_C18_1	Zm00001d028995	gene_body	1	5	0.5134223520755767	0
agri_aa_oil__Oil_C18_1	Zm00001d048903	cis_window	1	5	0.5127343833446503	143
agri_aa_oil__Oil_C18_1	Zm00001d024995	promoter	1	5	0.512721198797226	0
agri_aa_oil__Oil_C18_2	Zm00001d013984	gene_body	4	5	0.5966241955757141	0
agri_aa_oil__Oil_C18_2	Zm00001d013983	gene_body	3	5	0.588895171880722	0
agri_aa_oil__Oil_C18_2	Zm00001d009150	gene_body	2	5	0.6343913733959198	0
agri_aa_oil__Oil_C18_2	Zm00001d027934	gene_body	2	5	0.566798061132431	0
agri_aa_oil__Oil_C18_2	Zm00001d013861	gene_body	2	5	0.5482159197330474	0
agri_aa_oil__Oil_C18_2	Zm00001d013868	gene_body	2	5	0.5419909298419952	0
agri_aa_oil__Oil_C18_2	Zm00001d009147	gene_body	1	5	0.6381166219711304	0
agri_aa_oil__Oil_C18_2	Zm00001d009152	cis_window	1	5	0.6374032378196717	212
agri_aa_oil__Oil_C18_2	Zm00001d013849	cis_window	1	5	0.6373127698898315	5032
agri_aa_oil__Oil_C18_2	Zm00001d009150	promoter	1	5	0.6347191452980041	0
agri_aa_oil__Oil_C18_2	Zm00001d049442	cis_window	1	5	0.6182428240776062	6677
agri_aa_oil__Oil_C18_2	Zm00001d013595	gene_body	1	5	0.6172154664993286	0
agri_aa_oil__Oil_C18_2	Zm00001d013603	gene_body	1	5	0.6128549098968505	0
agri_aa_oil__Oil_C18_2	Zm00001d049511	gene_body	1	5	0.6124183773994446	0
agri_aa_oil__Oil_C18_2	Zm00001d049442	gene_body	1	5	0.6059958934783936	0
agri_aa_oil__Oil_C18_2	Zm00001d028995	gene_body	1	5	0.6029543161392212	0
agri_aa_oil__Oil_C18_2	Zm00001d025421	cis_window	1	5	0.5931814551353455	1773
agri_aa_oil__Oil_C18_2	Zm00001d008883	gene_body	1	5	0.5858510136604309	0
agri_aa_oil__Oil_C18_2	Zm00001d036981	cis_window	1	5	0.5815521359443665	247
agri_aa_oil__Oil_C18_2	Zm00001d036981	gene_body	1	5	0.5707605481147766	0
agri_aa_oil__Oil_C18_2	Zm00001d049551	cis_window	1	5	0.5704342603683472	302
agri_aa_oil__Oil_C18_2	Zm00001d042812	gene_body	1	5	0.5644435524940491	0
agri_aa_oil__Oil_C18_2	Zm00001d052227	cis_window	1	5	0.5582554697990417	6066
agri_aa_oil__Oil_C18_2	Zm00001d048903	cis_window	1	5	0.5577348589897155	143
agri_aa_oil__Oil_C18_2	Zm00001d036981	promoter	1	5	0.5533931136131287	0
agri_aa_oil__Oil_C18_2	Zm00001d053802	cis_window	1	5	0.5520534873008728	1172
agri_aa_oil__Oil_C18_2	Zm00001d013818	gene_body	1	5	0.5501884818077087	0
agri_aa_oil__Oil_C18_2	Zm00001d024995	promoter	1	5	0.5478544116020203	0
agri_aa_oil__Oil_C18_2	Zm00001d010009	gene_body	1	5	0.5459565401077271	0
agri_aa_oil__Oil_C18_2	Zm00001d021162	gene_body	1	5	0.5458188116550445	0
agri_aa_oil__Oil_C18_2	Zm00001d016788	promoter	1	5	0.5455100178718567	0
agri_aa_oil__Oil_C18_2	Zm00001d030002	nearest	1	5	0.5453004121780396	10934
agri_aa_oil__Oil_C18_2	Zm00001d031518	gene_body	1	5	0.5438021302223206	0
agri_aa_oil__Oil_C18_2	Zm00001d023703	promoter	1	5	0.5432319879531861	0
agri_aa_oil__Oil_C18_2	Zm00001d010175	gene_body	1	5	0.5415511846542358	0
agri_aa_oil__Oil_C18_2	Zm00001d036982	gene_body	1	5	0.5410539627075195	0
agri_aa_oil__Oil_C18_2	Zm00001d008881	cis_window	1	5	0.5407714784145355	736
agri_aa_oil__Oil_C18_2	Zm00001d036959	gene_body	1	5	0.5393485784530639	0
agri_aa_oil__Oil_C18_2	Zm00001d005018	gene_body	1	5	0.5390809893608093	0
agri_aa_oil__Oil_C18_2	Zm00001d008878	gene_body	1	5	0.5389527380466461	0
agri_aa_oil__Oil_C18_2	Zm00001d013767	gene_body	1	5	0.5360812902450561	0
agri_aa_oil__Oil_C18_3P	Zm00001d036563	gene_body	6	5	0.3821577916542689	0
agri_aa_oil__Oil_C18_3P	Zm00001d036558	nearest	6	5	0.3810049295425415	51941
agri_aa_oil__Oil_C18_3P	Zm00001d036982	gene_body	4	5	0.46225140541791915	0
agri_aa_oil__Oil_C18_3P	Zm00001d036981	gene_body	2	5	0.4322375416755676	0
agri_aa_oil__Oil_C18_3P	Zm00001d009150	gene_body	2	5	0.4251153588294983	0
agri_aa_oil__Oil_C18_3P	Zm00001d013983	gene_body	2	5	0.3661110639572144	0
agri_aa_oil__Oil_C18_3P	Zm00001d013984	gene_body	2	5	0.3648165166378021	0
agri_aa_oil__Oil_C18_3P	Zm00001d013247	gene_body	2	5	0.3371135354042053	0
agri_aa_oil__Oil_C18_3P	Zm00001d036982	cis_window	1	5	0.45315558910369874	10
agri_aa_oil__Oil_C18_3P	Zm00001d036981	cis_window	1	5	0.4304059684276581	247
agri_aa_oil__Oil_C18_3P	Zm00001d009147	gene_body	1	5	0.42855201959609984	0
agri_aa_oil__Oil_C18_3P	Zm00001d009150	promoter	1	5	0.4262223541736603	0
agri_aa_oil__Oil_C18_3P	Zm00001d009152	cis_window	1	5	0.42590767741203306	212
agri_aa_oil__Oil_C18_3P	Zm00001d036981	promoter	1	5	0.4235021650791168	0
agri_aa_oil__Oil_C18_3P	Zm00001d049511	gene_body	1	5	0.39554634094238283	0
agri_aa_oil__Oil_C18_3P	Zm00001d002884	cis_window	1	5	0.3939265787601471	380
agri_aa_oil__Oil_C18_3P	Zm00001d042812	gene_body	1	5	0.3839619278907776	0
agri_aa_oil__Oil_C18_3P	Zm00001d036956	gene_body	1	5	0.3788904368877411	0
agri_aa_oil__Oil_C18_3P	Zm00001d013849	cis_window	1	5	0.3787503898143768	5032
agri_aa_oil__Oil_C18_3P	Zm00001d013603	gene_body	1	5	0.3739140748977661	0
agri_aa_oil__Oil_C18_3P	Zm00001d036560	cis_window	1	5	0.37147849798202515	1162
