trait	seeds_evaluated	mean_pearson	median_pearson	sd_pearson	min_pearson	mean_r2	median_r2	sd_r2	min_r2	positive_r2_seeds	pearson_gt_0_3_seeds	trait_family	priority_tier	robust_selected
agri_aa_oil__Earleaflength	5	0.5417607991430533	0.5375094562273967	0.06547951740269156	0.48395558391591215	0.2690823548577792	0.2792924915240338	0.061263038382171495	0.18689528689629198	5	5	agronomic	watch	True
agri_aa_oil__Oil_C18_3	5	0.5376935323531662	0.5374877613608067	0.0848045719008742	0.4263177714838528	0.218845465073597	0.20238577855669815	0.06681584374822373	0.14785864226110357	5	5	oil	medium	True
agri_aa_oil__Oil_C22_0P	5	0.5444516944541291	0.5361997216499134	0.05050071903270859	0.4792753535935836	0.2704845667080611	0.2822605706356758	0.05531465187622375	0.18852875592506624	5	5	oil	medium	True
agri_aa_oil__Plantheight	5	0.5227165892231704	0.5311952742448678	0.03239571406862489	0.4809312713367279	0.23330168838583268	0.24134058848973372	0.04801287932697255	0.1819935348319428	5	5	agronomic	watch	True
agri_aa_oil__AA_Arg	5	0.53037094433194	0.5240259830073635	0.07087374680348413	0.42449137414884847	0.26720613861130793	0.2721532248171675	0.058752325904599896	0.17568518337688643	5	5	amino_acid	medium	True
metabolite__Uracil_E1	5	0.5254838835069892	0.5151195495820173	0.14548779173883136	0.3558036941704518	0.23469036372208776	0.21332376363846095	0.12550288217263872	0.09968304817148699	5	5	metabolite	watch	True
agri_aa_oil__Oil_C20_0P	5	0.5057941015981315	0.5144158246407324	0.08590451161575781	0.40916695875436904	0.20457436922028185	0.22664236477854638	0.08684496650783846	0.09741958828281294	5	5	oil	medium	True
metabolite__5_Hydroxyindoleacetic_acid_E1	5	0.5166133496094398	0.5072016830804774	0.11605629907774727	0.36849858325402907	0.23007378365497724	0.22453592373151487	0.08710369783311829	0.1095108083792865	5	5	metabolite	medium	True
agri_aa_oil__Earleafwidth	5	0.4665867563888074	0.49839271085583864	0.08049167211062105	0.3402887259648862	0.18675617851004964	0.17093281212507894	0.07038455466327748	0.10112351490341853	5	5	agronomic	watch	True
agri_aa_oil__Oil_C16_1P	5	0.4624208838679558	0.497916466625783	0.15225400738220354	0.23011381323745903	0.17018614156372797	0.23337106616157566	0.1855456923472548	-0.10696584948104904	4	4	oil	medium	True
agri_aa_oil__Eardiameter	5	0.4379389505737123	0.4741815104704953	0.07426930804523502	0.3099428071957373	0.16579078333982905	0.17305256473366237	0.05842437011861951	0.09428894808508514	5	5	agronomic	watch	True
agri_aa_oil__Oil_C24_0	5	0.4829240172523689	0.471597891085879	0.08654327541615654	0.35461730947918935	0.1910601579508995	0.16186257195107479	0.08391402273810583	0.10736249803089448	5	5	oil	watch	True
agri_aa_oil__Oil_C220_C240	5	0.4659625224961066	0.46065901695440575	0.022964891944367877	0.43870994368671334	0.1718262038007862	0.16482160144359537	0.043483505697367655	0.1094818121943506	5	5	oil	watch	True
agri_aa_oil__Earheight	5	0.4469765273826346	0.4559794294634032	0.0657009540093548	0.34616183720678084	0.18094264201671934	0.18975398676742927	0.05341324649200992	0.09842848865648368	5	5	agronomic	watch	True
metabolite__L_Arginine_E1	5	0.4552022106395488	0.44662027846755853	0.046841888193949376	0.4054101964783336	0.138166868452846	0.12809110954511604	0.03332594513911734	0.10301193927474328	5	5	metabolite	watch	True
agri_aa_oil__Kernernumberperrow	5	0.38901303447614305	0.43372330009056953	0.09629024647625711	0.2407667437525335	0.14061730315333953	0.17189789351766815	0.06729678613300678	0.03796677216642508	5	4	agronomic	watch	True
metabolite__Indole_3_carboxyaldehyde_E1	5	0.41989690437904026	0.4318374254694727	0.04476444770884533	0.3607590618386259	0.07033325996741809	0.05055938845923824	0.043871456717615956	0.022342507504319875	5	5	metabolite	watch	True
agri_aa_oil__Oil_C180_C200	5	0.45603088141793124	0.4284239068607961	0.10521259029195425	0.3450488636274816	0.198256989456783	0.1819327491203283	0.08745041873191733	0.09737421995145212	5	5	oil	watch	True
agri_aa_oil__100grainweight	5	0.42412935100099425	0.4182353262169168	0.056687579917987334	0.3571958584639493	0.13371662189529732	0.12735850271426086	0.062482044083602674	0.05727147586411685	5	5	agronomic	watch	True
agri_aa_oil__Oil_C200_C201	5	0.3980603199150886	0.41017017210488277	0.0950976306704639	0.26697180771028733	0.13863579650378938	0.11067432788166442	0.08208569170614059	0.05849914165735681	5	4	oil	watch	True
agri_aa_oil__cobweight	5	0.42088386899414987	0.40646021588922865	0.02566538424111816	0.3955415290738609	0.15280586880123886	0.16245619913570064	0.035992354583794954	0.09258138407713201	5	5	agronomic	watch	True
metabolite__Glutathione_E1	5	0.40398563957780886	0.4009045746983468	0.06550964943770457	0.3194779134028077	0.11715780863974945	0.1300124196249386	0.04554216053971728	0.037856889568570806	5	5	metabolite	watch	True
agri_aa_oil__Oil_C20_1P	5	0.4192529355512919	0.4000319386301025	0.056616294170461795	0.3721258841929441	0.16898922659336013	0.15092911907190376	0.048560387409502886	0.13792561979921025	5	5	oil	watch	True
agri_aa_oil__Oil_C18_0P	5	0.3852653596208564	0.39709673492536485	0.03817551927428235	0.3256084309469389	0.11658960089183923	0.11118428063163466	0.03027134718748005	0.09187371727815463	5	5	oil	watch	True
metabolite__Pro_Leu_E1	5	0.4364972243259052	0.39661868981233217	0.1276598968159816	0.3318441479530425	0.16663461625921966	0.13766459347173976	0.1143913127612243	0.06633428710813172	5	5	metabolite	watch	True
agri_aa_oil__Earlength	5	0.43949661669743767	0.39157199796336334	0.1279882228612084	0.3033287963164591	0.1629382494480548	0.14922855275426627	0.09000212479290381	0.04573156130200273	5	5	agronomic	medium	True
metabolite__Feruloylserotonin_E1	5	0.3446561894865634	0.3905506926896541	0.12941170028359225	0.12239018331090451	0.10675709777237781	0.10914260881132387	0.08367116419671597	-0.017523919653168463	4	4	metabolite	watch	True
metabolite__Trigonelline_E1	5	0.4658173051623472	0.3901766026012515	0.158829199209857	0.3134391824421963	0.1711850130933426	0.0979379636053801	0.13219277160705775	0.05893761306921441	5	5	metabolite	medium	True
metabolite__IAA_E1	5	0.3959170683281294	0.38869174530638445	0.031090783094959946	0.3613278439508793	0.0497721294536924	0.05674688364358915	0.0568428875180853	-0.035005235310036076	4	5	metabolite	watch	True
agri_aa_oil__AA_Asp	5	0.37859597236910625	0.3794181102544097	0.05063124906829149	0.32126723881495545	0.13798948885328907	0.1405594629759922	0.038100295119122794	0.09280331095985905	5	5	amino_acid	watch	True
metabolite__Malvidin_3_O_hexoside_E2	5	0.34582201769282495	0.3783299831778751	0.2121126294331409	-0.017749877100476513	0.10756243010436994	0.14107508103212119	0.17551901839197104	-0.19566841731127838	4	4	metabolite	watch	True
metabolite__Gluconolactone_E2	5	0.4439859976930448	0.37600988455934786	0.15865576334201176	0.28467131731023143	0.11250414657875789	0.10829258780269724	0.02706997615047034	0.0766141354159493	5	4	metabolite	watch	True
agri_aa_oil__AA_Thr	5	0.3541013957270384	0.36880292921265057	0.11229409408548441	0.173933206047253	0.11510023470145773	0.1216270466556526	0.0741120158597752	0.012478683983860095	5	4	amino_acid	watch	True
agri_aa_oil__AA_Phe	5	0.39419419943572603	0.366014009763623	0.10354034319358028	0.29917301152930464	0.13881175343751284	0.12908941141548913	0.07204003510723497	0.07303196620815788	5	4	amino_acid	watch	True
agri_aa_oil__AA_His	5	0.3740912287382726	0.365188379546419	0.06735946382786377	0.28615225455623344	0.13338691284388454	0.13217596655328212	0.040216507504518516	0.0813504291008672	5	4	amino_acid	watch	True
metabolite__Feruloyltryptamine_E1	5	0.3773133190254315	0.35546377293359255	0.12828553167947307	0.19597619322393695	0.1189641001295372	0.12201615624991613	0.10132065053682562	-0.011054769726191793	4	4	metabolite	medium	True
metabolite__N_Coumaroyltryptamine_E1	5	0.36657530717248205	0.3550679288753028	0.1439659113536494	0.141855368228317	0.11365422611149459	0.1245342358625866	0.08783254108214156	-0.03376377209797865	4	4	metabolite	watch	True
agri_aa_oil__AA_Pro	5	0.36761979932319444	0.3535366181546429	0.07528586328328447	0.279866254702972	0.125695141862372	0.12147942546958357	0.048207458908878446	0.0628618881287929	5	4	amino_acid	watch	True
metabolite__Norcinnamolaurine_E1	5	0.35760788598102183	0.35339601993689757	0.1260667629591198	0.17726641025917805	0.09108432500467252	0.09972927093061601	0.05503672907967463	0.005851186584116319	5	4	metabolite	watch	True
agri_aa_oil__Kernelthickness	5	0.38396946719519076	0.33218175490564295	0.11842761432169932	0.26445239876077764	0.1385533588649365	0.1057808275948734	0.08528357318986125	0.056966118907501695	5	4	agronomic	watch	True
metabolite__Norcinnamolaurine_E2	5	0.3222376235045328	0.32670229603953677	0.09794419850006603	0.16630241663081993	0.06420385479656995	0.0599400145497635	0.051059985768472836	0.0057868497975559485	5	4	metabolite	watch	True
metabolite__L_Glutamic_acid_E1	5	0.26672254644967874	0.3237782443962463	0.17097639359563072	-0.03496384616806719	0.04305834663775787	0.05850273155528707	0.041182783179658344	-0.02410817953161204	4	4	metabolite	watch	True
