trait	feature	selected_seeds	mean_coefficient	mean_abs_coefficient	context	region_type	gene_id	chrom	start_1based	end_1based	strand	variance_rank_within_combo	variance	missing_fraction_before_impute
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d003192	3	0.04809279101790281	0.04809279101790281	mCHG	gene	Zm00001d003192	2	35226569	35229786	-	14	0.15404438972473145	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d044581	3	0.0410270507417913	0.0410270507417913	mCG	gene	Zm00001d044581	3	232470618	232478894	+	229	0.14464528858661652	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d030856	3	-0.03671360674412767	0.03671360674412767	mCHG	cis	Zm00001d030856	1	163637977	163639965	-	243	0.13434764742851257	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d034043	3	-0.035334110087945396	0.035334110087945396	mCG	gene	Zm00001d034043	1	282043067	282045983	-	284	0.1399308443069458	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d018731	3	-0.03209358412228538	0.03209358412228538	mCG	gene	Zm00001d018731	7	3330940	3335717	+	129	0.15512733161449432	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d042171	3	0.021213840047022103	0.021213840047022103	mCG	promoter	Zm00001d042171	3	154796683	154797198	-	229	0.1520165055990219	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d042171	3	0.021212820134899436	0.021212820134899436	mCG	gene	Zm00001d042171	3	154796683	154797198	-	152	0.1520165055990219	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d047999	3	0.01855847956655018	0.01855847956655018	mCHH	cis	Zm00001d047999	9	147624186	147626585	-	32	0.05865861102938652	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d047999	3	0.0185540327457104	0.0185540327457104	mCHH	gene	Zm00001d047999	9	147624186	147626585	-	3	0.05865861102938652	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d047998	3	0.01854729119098267	0.01854729119098267	mCHH	cis	Zm00001d047998	9	147612453	147617340	-	31	0.05865861102938652	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d014196	3	0.018027302256642008	0.018027302256642008	mCHH	gene	Zm00001d014196	5	35992510	35997626	-	200	0.007411800790578127	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d008859	3	0.01444764973535847	0.01444764973535847	mCHH	cis	Zm00001d008859	8	22870098	22873800	-	499	0.022259419783949852	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d008858	3	0.0144469242131472	0.0144469242131472	mCHH	cis	Zm00001d008858	8	22865173	22869630	+	498	0.022259419783949852	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d022474	3	-0.01323711183329946	0.01323711183329946	mCHH	cis	Zm00001d022474	7	178334240	178335780	-	42	0.05516708269715309	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d003791	3	-0.011652317990052329	0.011652317990052329	mCG	promoter	Zm00001d003791	2	59470932	59473694	-	22	0.18583939969539642	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d003791	3	-0.011649294710823396	0.011649294710823396	mCG	cis	Zm00001d003791	2	59470932	59473694	-	50	0.18583939969539642	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d017136	3	-0.01151037575990875	0.01151037575990875	mCHH	cis	Zm00001d017136	5	186649141	186649984	-	326	0.027142249047756195	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d017138	3	-0.011508816522212076	0.011508816522212076	mCHH	cis	Zm00001d017138	5	186660341	186666947	+	328	0.027142249047756195	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d017137	3	-0.011506960828519671	0.011506960828519671	mCHH	cis	Zm00001d017137	5	186650137	186653888	+	327	0.027142249047756195	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d025621	3	-0.00868843564519644	0.00868843564519644	mCHG	promoter	Zm00001d025621	10	124245088	124245621	-	322	0.11041942238807678	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d025594	3	-0.007506802904301959	0.007506802904301959	mCHG	promoter	Zm00001d025594	10	123460360	123461574	+	483	0.10069315880537033	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d025594	3	-0.007506000893235585	0.007506000893235585	mCHG	gene	Zm00001d025594	10	123460360	123461574	+	469	0.10069315880537033	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d040595	3	-0.002723887551795076	0.002723887551795076	mCHH	cis	Zm00001d040595	3	52236536	52237647	+	67	0.04717601090669632	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d040595	3	-0.002716392808317931	0.002716392808317931	mCHH	promoter	Zm00001d040595	3	52236536	52237647	+	30	0.04717601090669632	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d030073	2	-0.07293671639246832	0.07293671639246832	mCG	gene	Zm00001d030073	1	103631545	103632715	+	430	0.1280493438243866	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d027834	2	0.07239276158750407	0.07239276158750407	mCHH	promoter	Zm00001d027834	1	14665693	14671725	+	354	0.014187786728143692	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d036220	2	-0.0689375547089274	0.0689375547089274	mCHH	promoter	Zm00001d036220	6	77712548	77714319	+	237	0.019324202090501785	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d047565	2	0.06884060247594562	0.06884060247594562	mCHH	gene	Zm00001d047565	9	135716503	135717048	-	190	0.007685718592256308	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d019020	2	-0.06262664168137821	0.06262664168137821	mCG	gene	Zm00001d019020	7	12943160	12946459	-	474	0.12507526576519012	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d032148	2	-0.06235610971328161	0.06235610971328161	mCHG	cis	Zm00001d032148	1	214491081	214496190	+	272	0.13270936906337738	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d002962	2	-0.061397433263531365	0.061397433263531365	mCHG	gene	Zm00001d002962	2	28204145	28226242	-	261	0.11369631439447403	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d028069	2	0.05674627925283446	0.05674627925283446	mCHH	gene	Zm00001d028069	1	21938116	21942087	-	246	0.006279947701841593	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d049395	2	-0.056173392406130535	0.056173392406130535	mCHH	gene	Zm00001d049395	4	29105498	29109358	-	410	0.003893223125487566	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d025628	2	-0.05433273072579181	0.05433273072579181	mCG	cis	Zm00001d025628	10	124513574	124517653	+	329	0.16235268115997314	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d035208	2	0.053278849793271715	0.053278849793271715	mCG	promoter	Zm00001d035208	6	9905774	9910868	-	219	0.1531686931848526	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d021513	2	-0.05223260198344159	0.05223260198344159	mCHH	promoter	Zm00001d021513	7	154682758	154684482	+	371	0.013593962416052818	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d003791	2	-0.051639138985783095	0.051639138985783095	mCHG	promoter	Zm00001d003791	2	59470932	59473694	-	152	0.12368081510066986	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d045715	2	-0.05046481135270222	0.05046481135270222	mCG	gene	Zm00001d045715	9	34917588	34919305	-	387	0.13138209283351898	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d009385	2	0.0495805695245762	0.0495805695245762	mCHH	gene	Zm00001d009385	8	61599657	61604192	+	35	0.020862288773059845	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d005350	2	-0.04359823540096	0.04359823540096	mCG	promoter	Zm00001d005350	2	170606178	170612205	+	341	0.14364176988601685	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d043353	2	-0.042729955498497216	0.042729955498497216	mCG	gene	Zm00001d043353	3	197459822	197489419	+	466	0.12562689185142517	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d020562	2	-0.042473288225507444	0.042473288225507444	mCHH	gene	Zm00001d020562	7	122351840	122352624	-	308	0.005288772750645876	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d014198	2	0.03798238697521905	0.03798238697521905	mCHH	promoter	Zm00001d014198	5	36107594	36109905	+	467	0.011213105171918869	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d026465	2	-0.03789423324807126	0.03789423324807126	mCHH	gene	Zm00001d026465	10	146390292	146400543	+	362	0.004575708881020546	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d010462	2	0.036941927295764586	0.036941927295764586	mCHG	promoter	Zm00001d010462	8	116428681	116443993	+	189	0.12055722624063492	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d027976	2	-0.035825692859369956	0.035825692859369956	mCHH	promoter	Zm00001d027976	1	19023016	19025659	+	460	0.011387703008949757	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d019217	2	-0.03492861751426969	0.03492861751426969	mCHG	gene	Zm00001d019217	7	22231048	22241642	-	263	0.11350908875465393	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d040595	2	-0.0348569130998684	0.0348569130998684	mCHG	promoter	Zm00001d040595	3	52236536	52237647	+	178	0.12097060680389404	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d031263	2	-0.033461512401065666	0.033461512401065666	mCG	promoter	Zm00001d031263	1	184281834	184284331	+	491	0.13238883018493652	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d046286	2	0.03335130145619534	0.03335130145619534	mCHH	gene	Zm00001d046286	9	78302831	78308609	+	355	0.0046638790518045425	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d043667	2	0.0326560080807039	0.0326560080807039	mCHH	gene	Zm00001d043667	3	206709190	206773617	+	444	0.003363938070833683	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d036799	2	0.03256675169848183	0.03256675169848183	mCHG	gene	Zm00001d036799	6	101248218	101249481	-	436	0.10224110633134842	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d009701	2	-0.03229296354737336	0.03229296354737336	mCG	cis	Zm00001d009701	8	76405529	76406269	-	174	0.17190730571746826	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d016662	2	-0.03225314864686011	0.03225314864686011	mCG	gene	Zm00001d016662	5	171759650	171775572	-	482	0.1244773343205452	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d051421	2	-0.02921383792496596	0.02921383792496596	mCHH	gene	Zm00001d051421	4	158016051	158023794	+	168	0.008168203756213188	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d025056	2	0.028846838240571618	0.028846838240571618	mCHG	promoter	Zm00001d025056	10	101921141	101923394	-	306	0.11153556406497955	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d025404	2	-0.028318292717581878	0.028318292717581878	mCHG	cis	Zm00001d025404	10	117395751	117396956	+	102	0.14378415048122406	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d025404	2	-0.028314522293178154	0.028314522293178154	mCHG	gene	Zm00001d025404	10	117395751	117396956	+	39	0.14378415048122406	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d009347	2	0.028140617567347613	0.028140617567347613	mCG	cis	Zm00001d009347	8	57644930	57646526	+	282	0.1642916053533554	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d009346	2	0.02813850441047301	0.02813850441047301	mCG	cis	Zm00001d009346	8	57636335	57637000	+	281	0.1642916053533554	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d009347	2	0.028123656184941153	0.028123656184941153	mCG	promoter	Zm00001d009347	8	57644930	57646526	+	105	0.1642916053533554	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d002390	2	-0.027938826966706493	0.027938826966706493	mCHG	gene	Zm00001d002390	2	11665354	11689105	-	488	0.09945905208587646	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d030533	2	0.02588072172239802	0.02588072172239802	mCHH	gene	Zm00001d030533	1	142260864	142278394	-	376	0.0044015240855515	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d025877	2	-0.0257577414390798	0.0257577414390798	mCG	gene	Zm00001d025877	10	132437730	132438584	-	494	0.12353526800870895	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d044342	2	-0.023517097850432243	0.023517097850432243	mCG	gene	Zm00001d044342	3	225515419	225519609	-	357	0.13367043435573578	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d043092	2	-0.02243946840062166	0.02243946840062166	mCG	promoter	Zm00001d043092	3	189070647	189072393	+	263	0.14943329989910126	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d043092	2	-0.022435163189406523	0.022435163189406523	mCG	gene	Zm00001d043092	3	189070647	189072393	+	172	0.14943329989910126	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d024953	2	-0.021720361389111917	0.021720361389111917	mCHH	gene	Zm00001d024953	10	96630696	96658868	-	360	0.004607917740941048	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d034043	2	-0.02156329477191945	0.02156329477191945	mCHG	gene	Zm00001d034043	1	282043067	282045983	-	400	0.10394235700368881	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d014017	2	0.021297872283450207	0.021297872283450207	mCG	gene	Zm00001d014017	5	28892601	28900562	-	209	0.14679120481014252	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d022135	2	-0.021003449685779663	0.021003449685779663	mCG	promoter	Zm00001d022135	7	170983244	170984548	+	323	0.14448611438274384	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d022135	2	-0.021003339961235868	0.021003339961235868	mCG	gene	Zm00001d022135	7	170983244	170984548	+	233	0.14448611438274384	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d050797	2	-0.020749067926678	0.020749067926678	mCG	promoter	Zm00001d050797	4	123582684	123584329	-	484	0.1338598132133484	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d036547	2	0.02016702215962164	0.02016702215962164	mCHH	promoter	Zm00001d036547	6	91589807	91591096	+	225	0.02048877812922001	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d051310	2	-0.01860499050282073	0.01860499050282073	mCG	gene	Zm00001d051310	4	152962064	152969869	+	134	0.15426528453826904	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d051310	2	-0.018599214989281992	0.018599214989281992	mCG	promoter	Zm00001d051310	4	152962064	152969869	+	208	0.15426528453826904	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d017337	2	0.017085911480533254	0.017085911480533254	mCG	cis	Zm00001d017337	5	193248964	193251020	+	290	0.16402344405651093	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d017336	2	0.017073256085688767	0.017073256085688767	mCG	gene	Zm00001d017336	5	193245751	193254613	-	68	0.16402344405651093	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d017336	2	0.01707039758756707	0.01707039758756707	mCG	cis	Zm00001d017336	5	193245751	193254613	-	289	0.16402344405651093	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d017336	2	0.017066744483840882	0.017066744483840882	mCG	promoter	Zm00001d017336	5	193245751	193254613	-	108	0.16402344405651093	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d017507	2	-0.013670562475030314	0.016289032221951962	mCHG	cis	Zm00001d017507	5	197864412	197884322	+	203	0.1368226557970047	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d017507	2	-0.013671376503388764	0.016286548788519026	mCHG	gene	Zm00001d017507	5	197864412	197884322	+	68	0.1368226557970047	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d048818	2	-0.015376641721942466	0.015376641721942466	mCHG	promoter	Zm00001d048818	4	5943970	5944767	+	136	0.1248651072382927	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d011105	2	0.013664502277141576	0.013664502277141576	mCHG	gene	Zm00001d011105	8	139096722	139098059	-	176	0.12065449357032776	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d011107	2	0.013654634553191632	0.013654634553191632	mCHG	promoter	Zm00001d011107	8	139097487	139098598	+	185	0.12065449357032776	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d011488	2	0.013484400476181397	0.013484400476181397	mCG	gene	Zm00001d011488	8	152107228	152107913	+	147	0.15268437564373016	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d009677	2	-0.013349272178727715	0.013349272178727715	mCHH	promoter	Zm00001d009677	8	75506434	75508428	+	67	0.035474903881549835	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d009677	2	-0.01334766370203436	0.01334766370203436	mCHH	cis	Zm00001d009677	8	75506434	75508428	+	170	0.035474903881549835	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d018826	2	-0.012768159593445088	0.012768159593445088	mCHH	cis	Zm00001d018826	7	6584341	6586677	+	405	0.024648943915963173	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d018827	2	-0.012763617105158557	0.012763617105158557	mCHH	cis	Zm00001d018827	7	6587108	6587917	+	404	0.024648943915963173	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d025594	2	-0.012313780938346954	0.012313780938346954	mCG	promoter	Zm00001d025594	10	123460360	123461574	+	258	0.1499519646167755	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d025594	2	-0.01229044801755695	0.01229044801755695	mCG	gene	Zm00001d025594	10	123460360	123461574	+	168	0.1499519646167755	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d048323	2	0.01126977898671586	0.01126977898671586	mCG	gene	Zm00001d048323	9	154485308	154489238	+	379	0.1316424012184143	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d034425	2	-0.011057044084389886	0.011057044084389886	mCHG	cis	Zm00001d034425	1	292634306	292635846	-	466	0.12586185336112976	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d034424	2	-0.011041324476380447	0.011041324476380447	mCHG	cis	Zm00001d034424	1	292625000	292631329	-	467	0.12586185336112976	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d034425	2	-0.011038077897771066	0.011038077897771066	mCHG	promoter	Zm00001d034425	1	292634306	292635846	-	128	0.12586185336112976	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d034425	2	-0.011019806721330554	0.011019806721330554	mCHG	gene	Zm00001d034425	1	292634306	292635846	-	136	0.12586185336112976	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d030021	2	-0.010053849797526887	0.010053849797526887	mCG	cis	Zm00001d030021	1	100085601	100090561	+	412	0.1589530110359192	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d034964	2	-0.009640303300720007	0.009640303300720007	mCHH	promoter	Zm00001d034964	6	168702	179846	-	384	0.013384812511503696	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d025621	2	-0.009243977301118063	0.009243977301118063	mCG	promoter	Zm00001d025621	10	124245088	124245621	-	286	0.14800074696540833	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d020524	2	-0.008575007973450144	0.008575007973450144	mCG	gene	Zm00001d020524	7	120895372	120913683	-	116	0.15647150576114655	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d020524	2	-0.00857192840847423	0.00857192840847423	mCG	cis	Zm00001d020524	7	120895372	120913683	-	493	0.15647150576114655	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d003964	2	-0.007999650962919035	0.007999650962919035	mCHH	gene	Zm00001d003964	2	72580663	72582175	-	340	0.004857032094150782	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d003352	2	-0.0073720382544849436	0.0073720382544849436	mCG	cis	Zm00001d003352	2	41240621	41247759	+	103	0.17730222642421722	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d053766	2	0.006495651378286987	0.006495651378286987	mCG	cis	Zm00001d053766	4	240707119	240709383	+	97	0.17775128781795502	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d053767	2	0.006495333270114375	0.006495333270114375	mCG	cis	Zm00001d053767	4	240714911	240718427	+	96	0.17775128781795502	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d053765	2	0.006494727059603277	0.006494727059603277	mCG	cis	Zm00001d053765	4	240696980	240703366	-	98	0.17775128781795502	0.0
agri_aa_oil__100grainweight	methwin__mCHG__gene__Zm00001d051310	2	-0.003958555140302709	0.003958555140302709	mCHG	gene	Zm00001d051310	4	152962064	152969869	+	114	0.12880167365074158	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d051310	2	-0.003955132389014505	0.003955132389014505	mCHG	promoter	Zm00001d051310	4	152962064	152969869	+	106	0.12880167365074158	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d051310	2	-0.003954481943375811	0.003954481943375811	mCHG	cis	Zm00001d051310	4	152962064	152969869	+	372	0.12880167365074158	0.0
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d025618	2	-0.0037941671057915138	0.0037941671057915138	mCHG	promoter	Zm00001d025618	10	124150806	124152123	+	32	0.1415894627571106	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d048059	2	-0.00355088567115052	0.00355088567115052	mCHH	cis	Zm00001d048059	9	149085887	149093085	+	263	0.03011501207947731	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d048060	2	-0.00354695412480438	0.00354695412480438	mCHH	cis	Zm00001d048060	9	149093185	149097158	-	265	0.03011501207947731	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d048061	2	-0.0035386480736764635	0.0035386480736764635	mCHH	cis	Zm00001d048061	9	149108412	149109896	+	264	0.03011501207947731	0.0
