source_file	matrix_gene_id_column	sample_column	sample_column_norm	inferred_line	inferred_line_norm	tissue_or_stage	sample_role	accession_panel_sample	notes
HZS_genes.fmt_FPKM.results	gene_id	HZS_Meristematic and elongation zones of primary root	HZS_MERISTEMATICANDELONGATIONZONESOFPRIMARYROOT	HZS	HZS	Meristematic and elongation zones of primary root	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Fourth elongated internode	HZS_FOURTHELONGATEDINTERNODE	HZS	HZS	Fourth elongated internode	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Anthers	HZS_ANTHERS	HZS	HZS	Anthers	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Immature Cob	HZS_IMMATURECOB	HZS	HZS	Immature Cob	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Meiotic Tassel	HZS_MEIOTICTASSEL	HZS	HZS	Meiotic Tassel	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Eighth leaf tip stage	HZS_EIGHTHLEAFTIPSTAGE	HZS	HZS	Eighth leaf tip stage	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Eighth leaf middle stage	HZS_EIGHTHLEAFMIDDLESTAGE	HZS	HZS	Eighth leaf middle stage	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Eighth leaf base stage	HZS_EIGHTHLEAFBASESTAGE	HZS	HZS	Eighth leaf base stage	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_Crown roots	HZS_CROWNROOTS	HZS	HZS	Crown roots	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
Mo1_only7_genes.fmt_FPKM.results	gene_id	Mo17_12_day_after_pollination_endosperm	MO17_12_DAY_AFTER_POLLINATION_ENDOSPERM	Mo17	MO17	12_day_after_pollination_endosperm	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
Mo1_only7_genes.fmt_FPKM.results	gene_id	Mo17_14_day_seedling	MO17_14_DAY_SEEDLING	Mo17	MO17	14_day_seedling	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
Mo1_only7_genes.fmt_FPKM.results	gene_id	Mo17_bract	MO17_BRACT	Mo17	MO17	bract	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
Mo1_only7_genes.fmt_FPKM.results	gene_id	Mo17_root	MO17_ROOT	Mo17	MO17	root	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
Mo1_only7_genes.fmt_FPKM.results	gene_id	Mo17_stem_harvested_in_silking_stage	MO17_STEM_HARVESTED_IN_SILKING_STAGE	Mo17	MO17	stem_harvested_in_silking_stage	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
