population_pca	population_structure	metabolite_stock	metabolite_phenotype_stock_name	metabolite_phenotype_sample_id	agri_stock	agri_phenotype_stock_name	agri_phenotype_sample_id	accession_id_norm	raw_ids	has_population	has_metabolite	has_agri_aa_oil	has_any_phenotype	strong_pair_population_phenotype
True	True	True	True	True	True	True	True	CIMBL150	CIMBL150	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL151	CIMBL151	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL152	CIMBL152	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL153	CIMBL153	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL154	CIMBL154	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL155	CIMBL155	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL156	CIMBL156	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL157	CIMBL157	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL16	CIMBL16	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL17	CIMBL17	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL18	CIMBL18	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL19	CIMBL19	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL2	CIMBL2	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL20	CIMBL20	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL21	CIMBL21	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL22	CIMBL22	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL23	CIMBL23	True	True	True	True	True
False	False	True	False	False	True	True	True	CIMBL24	CIMBL24	False	False	True	True	False
True	True	True	True	True	True	True	True	CIMBL25	CIMBL25	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL26	CIMBL26	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL27	CIMBL27	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL28	CIMBL28	True	True	True	True	True
False	False	True	True	True	True	True	True	CIMBL29	CIMBL29	False	True	True	True	False
True	True	True	True	True	True	True	True	CIMBL3	CIMBL3	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL30	CIMBL30	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL31	CIMBL31	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL32	CIMBL32	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL33	CIMBL33	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL34	CIMBL34	True	False	True	True	True
True	True	False	False	False	False	False	False	CIMBL35	CIMBL35	True	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL36	CIMBL36	True	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL37	CIMBL37	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL38	CIMBL38	True	True	True	True	True
False	False	True	False	False	True	False	False	CIMBL39	CIMBL39	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL39X	CIMBL39X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL4	CIMBL4	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL40	CIMBL40	True	True	True	True	True
True	True	False	False	False	False	False	False	CIMBL41	CIMBL41	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL42	CIMBL42	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL43	CIMBL43	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL44	CIMBL44	True	False	True	True	True
False	False	True	False	False	True	False	False	CIMBL45	CIMBL45	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL45X	CIMBL45X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL46	CIMBL46	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL47	CIMBL47	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL48	CIMBL48	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL49	CIMBL49	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL5	CIMBL5	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL50	CIMBL50	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL51	CIMBL51	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL52	CIMBL52	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL53	CIMBL53	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL54	CIMBL54	True	True	True	True	True
False	False	True	True	True	True	False	False	CIMBL55	CIMBL55	False	True	False	True	False
True	True	True	True	True	True	True	True	CIMBL56	CIMBL56	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL57	CIMBL57	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL58	CIMBL58	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL59	CIMBL59	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL6	CIMBL6	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL60	CIMBL60	True	True	True	True	True
False	False	True	False	False	True	False	False	CIMBL61	CIMBL61	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL61X	CIMBL61X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL62	CIMBL62	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL63	CIMBL63	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL65	CIMBL65	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL66	CIMBL66	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL67	CIMBL67	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL68	CIMBL68	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL69	CIMBL69	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL7	CIMBL7	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL70	CIMBL70	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL71	CIMBL71	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL72	CIMBL72	True	False	True	True	True
False	False	True	False	False	True	False	False	CIMBL73	CIMBL73	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL73X	CIMBL73X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL74	CIMBL74	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL75	CIMBL75	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL76	CIMBL76	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL77	CIMBL77	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL78	CIMBL78	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL79	CIMBL79	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL8	CIMBL8	True	False	True	True	True
False	False	True	False	False	True	False	False	CIMBL80	CIMBL80	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL80X	CIMBL80X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL81	CIMBL81	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL82	CIMBL82	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL83	CIMBL83	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL84	CIMBL84	True	True	True	True	True
False	False	True	False	False	True	False	False	CIMBL85	CIMBL85	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL85X	CIMBL85X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL86	CIMBL86	True	True	True	True	True
False	False	True	True	True	True	False	False	CIMBL87	CIMBL87	False	True	False	True	False
True	True	False	False	False	False	False	False	CIMBL87X	CIMBL87X	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL88	CIMBL88	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL89	CIMBL89	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL9	CIMBL9	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL90	CIMBL90	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL91	CIMBL91	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL92	CIMBL92	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL93	CIMBL93	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL94	CIMBL94	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL95	CIMBL95	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL96	CIMBL96	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL97	CIMBL97	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL98	CIMBL98	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL99	CIMBL99	True	True	True	True	True
True	True	True	False	False	True	True	True	CML113	CML113	True	False	True	True	True
True	True	True	True	True	True	True	True	CML114	CML114	True	True	True	True	True
True	True	True	True	True	True	False	False	CML115	CML115	True	True	False	True	True
True	True	False	False	False	False	False	False	CML115X	CML115X	True	False	False	False	False
False	False	True	True	True	True	False	False	CML116	CML116	False	True	False	True	False
True	True	True	True	True	True	True	True	CML118	CML118	True	True	True	True	True
True	True	True	True	True	True	True	True	CML121	CML121	True	True	True	True	True
True	True	True	True	True	True	True	True	CML122	CML122	True	True	True	True	True
True	True	True	True	True	True	True	True	CML130	CML130	True	True	True	True	True
True	True	True	True	True	True	True	True	CML134	CML134	True	True	True	True	True
True	True	True	True	True	True	True	True	CML139	CML139	True	True	True	True	True
True	True	True	True	True	True	True	True	CML162	CML162	True	True	True	True	True
True	True	True	True	True	True	True	True	CML163	CML163	True	True	True	True	True
True	True	True	True	True	True	True	True	CML165	CML165	True	True	True	True	True
False	False	True	False	False	True	False	False	CML166	CML166	False	False	False	False	False
True	True	True	False	False	True	True	True	CML168	CML168	True	False	True	True	True
True	True	True	True	True	True	True	True	CML169	CML169	True	True	True	True	True
True	True	True	True	True	True	True	True	CML170	CML170	True	True	True	True	True
True	True	True	True	True	True	True	True	CML171	CML171	True	True	True	True	True
True	True	True	True	True	True	True	True	CML172	CML172	True	True	True	True	True
True	True	True	True	True	True	True	True	CML189	CML189	True	True	True	True	True
True	True	True	True	True	True	True	True	CML191	CML191	True	True	True	True	True
True	True	True	True	True	True	True	True	CML192	CML192	True	True	True	True	True
True	True	True	True	True	True	True	True	CML20	CML20	True	True	True	True	True
True	True	True	False	False	True	True	True	CML223	CML223	True	False	True	True	True
True	True	True	False	False	True	True	True	CML225	CML225	True	False	True	True	True
True	True	True	False	False	True	True	True	CML226	CML226	True	False	True	True	True
True	True	True	False	False	True	True	True	CML228	CML228	True	False	True	True	True
True	True	False	False	False	False	False	False	CML229	CML229	True	False	False	False	False
True	True	True	False	False	True	True	True	CML27	CML27	True	False	True	True	True
True	True	True	False	False	True	True	True	CML28	CML28	True	False	True	True	True
True	True	False	False	False	False	False	False	CML282	CML282	True	False	False	False	False
True	True	False	False	False	False	False	False	CML285	CML285	True	False	False	False	False
False	False	True	False	False	True	False	False	CML286	CML286	False	False	False	False	False
True	True	False	False	False	False	False	False	CML286X	CML286X	True	False	False	False	False
False	False	True	False	False	True	False	False	CML287	CML287	False	False	False	False	False
True	True	False	False	False	False	False	False	CML287X	CML287X	True	False	False	False	False
True	True	False	False	False	False	False	False	CML289	CML289	True	False	False	False	False
True	True	False	False	False	False	False	False	CML29	CML29	True	False	False	False	False
True	True	True	True	True	True	True	True	CML290	CML290	True	True	True	True	True
True	True	True	False	False	True	True	True	CML298	CML298	True	False	True	True	True
True	True	True	False	False	True	True	True	CML300	CML300	True	False	True	True	True
False	False	True	True	True	True	True	True	CML304	CML304	False	True	True	True	False
True	True	True	False	False	True	True	True	CML305	CML305	True	False	True	True	True
True	True	True	False	False	True	True	True	CML307	CML307	True	False	True	True	True
True	True	True	True	True	True	True	True	CML31	CML31	True	True	True	True	True
True	True	True	True	True	True	True	True	CML32	CML32	True	True	True	True	True
True	True	True	True	True	True	True	True	CML323	CML323	True	True	True	True	True
True	True	True	True	True	True	True	True	CML324	CML324	True	True	True	True	True
True	True	True	True	True	True	True	True	CML325	CML325	True	True	True	True	True
False	False	True	False	False	True	False	False	CML326	CML326	False	False	False	False	False
True	True	False	False	False	False	False	False	CML326X	CML326X	True	False	False	False	False
True	True	True	True	True	True	True	True	CML327	CML327	True	True	True	True	True
True	True	True	True	True	True	True	True	CML338	CML338	True	True	True	True	True
True	True	True	True	True	True	True	True	CML360	CML360	True	True	True	True	True
True	True	True	True	True	True	True	True	CML361	CML361	True	True	True	True	True
True	True	True	False	False	True	True	True	CML364	CML364	True	False	True	True	True
True	True	False	False	False	False	False	False	CML40	CML40	True	False	False	False	False
True	True	True	False	False	True	True	True	CML408	CML408	True	False	True	True	True
True	True	True	True	True	True	True	True	CML411	CML411	True	True	True	True	True
False	False	True	False	False	True	True	True	CML412	CML412	False	False	True	True	False
True	True	True	True	True	True	True	True	CML415	CML415	True	True	True	True	True
True	True	True	True	True	True	True	True	CML422	CML422	True	True	True	True	True
True	True	True	True	True	True	True	True	CML423	CML423	True	True	True	True	True
True	True	True	True	True	True	True	True	CML426	CML426	True	True	True	True	True
True	True	True	False	False	True	True	True	CML428	CML428	True	False	True	True	True
False	False	True	False	False	True	False	False	CML430	CML430	False	False	False	False	False
True	True	True	True	True	True	True	True	CML431	CML431	True	True	True	True	True
True	True	True	True	True	True	True	True	CML432	CML432	True	True	True	True	True
False	False	True	True	True	True	True	True	CML433	CML433	False	True	True	True	False
True	True	True	False	False	True	True	True	CML451	CML451	True	False	True	True	True
True	True	True	True	True	True	True	True	CML454	CML454	True	True	True	True	True
True	True	True	False	False	True	True	True	CML465	CML465	True	False	True	True	True
True	True	False	False	False	False	False	False	CML468	CML468	True	False	False	False	False
True	True	True	True	True	True	True	True	CML470	CML470	True	True	True	True	True
True	True	True	False	False	True	True	True	CML471	CML471	True	False	True	True	True
False	False	True	False	False	True	True	True	CML473	CML473	False	False	True	True	False
False	False	True	False	False	True	False	False	CML474	CML474	False	False	False	False	False
True	True	True	False	False	True	True	True	CML479	CML479	True	False	True	True	True
True	True	True	True	True	True	True	True	CML480	CML480	True	True	True	True	True
True	True	True	True	True	True	True	True	CML486	CML486	True	True	True	True	True
True	True	True	True	True	True	True	True	CML493	CML493	True	True	True	True	True
True	True	True	True	True	True	True	True	CML496	CML496	True	True	True	True	True
True	True	True	False	False	True	True	True	CML497	CML497	True	False	True	True	True
True	True	True	True	True	True	True	True	CML50	CML50	True	True	True	True	True
True	True	True	False	False	True	True	True	CML51	CML51	True	False	True	True	True
True	True	True	True	True	True	True	True	CML69	CML69	True	True	True	True	True
True	True	False	False	False	False	False	False	CY72	CY72	True	False	False	False	False
True	True	True	False	False	True	True	True	D047	D047	True	False	True	True	True
True	True	True	True	True	True	True	True	D863F	D863F	True	True	True	True	True
True	True	True	True	True	True	True	True	DAN3130	DAN3130	True	True	True	True	True
True	True	True	True	True	True	True	True	DAN340	DAN340	True	True	True	True	True
True	True	True	True	True	True	True	True	DAN360	DAN360	True	True	True	True	True
True	True	True	True	True	True	True	True	DAN4245	DAN4245	True	True	True	True	True
True	True	True	False	False	True	True	True	DAN598	DAN598	True	False	True	True	True
True	True	True	True	True	True	True	True	DAN599	DAN599	True	True	True	True	True
True	True	False	False	False	False	False	False	DAN9046	DAN9046	True	False	False	False	False
True	True	False	False	False	False	False	False	DE	DE	True	False	False	False	False
False	False	True	False	False	True	True	True	DE.EX	DE.EX	False	False	True	True	False
True	True	True	False	False	True	True	True	DH29	DH29	True	False	True	True	True
True	True	True	True	True	True	True	True	DH3732	DH3732	True	True	True	True	True
True	True	True	True	True	True	True	True	DONG237	DONG237	True	True	True	True	True
True	True	True	True	True	True	True	True	DONG46	DONG46	True	True	True	True	True
True	True	True	False	False	True	True	True	DSB	DSB	True	False	True	True	True
True	True	False	False	False	False	False	False	E28	E28	True	False	False	False	False
True	True	True	True	True	True	True	True	EN25	EN25	True	True	True	True	True
True	True	True	True	True	True	True	True	ES40	ES40	True	True	True	True	True
True	True	True	True	True	True	True	True	FCD0602	FCD0602	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS1	GEMS1	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS10	GEMS10	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS11	GEMS11	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS12	GEMS12	True	False	True	True	True
True	True	True	False	False	True	True	True	GEMS13	GEMS13	True	False	True	True	True
True	True	True	True	True	True	True	True	GEMS14	GEMS14	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS15	GEMS15	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS16	GEMS16	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS17	GEMS17	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS18	GEMS18	True	False	True	True	True
True	True	True	False	False	True	True	True	GEMS19	GEMS19	True	False	True	True	True
True	True	True	True	True	True	True	True	GEMS2	GEMS2	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS20	GEMS20	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS21	GEMS21	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS23	GEMS23	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS24	GEMS24	True	False	True	True	True
True	True	True	True	True	True	True	True	GEMS25	GEMS25	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS27	GEMS27	True	False	True	True	True
True	True	True	True	True	True	True	True	GEMS28	GEMS28	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS29	GEMS29	True	False	True	True	True
True	True	True	True	True	True	True	True	GEMS3	GEMS3	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS30	GEMS30	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS31	GEMS31	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS32	GEMS32	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS33	GEMS33	True	True	True	True	True
True	True	True	True	True	True	True	True	GEMS35	GEMS35	True	True	True	True	True
True	True	True	False	False	True	True	True	GEMS36	GEMS36	True	False	True	True	True
True	True	True	False	False	True	True	True	GEMS37	GEMS37	True	False	True	True	True
